&Door,StartX,StartY,EndX,EndY,4/arrow,5/id,6/inComp,7/exitSign,,,,,,,,,,,
--,26.8,14.5,27.2,15.5,0,0,1,0,,,,,,,,,,,
--,26.8,11,27.2,12,0,1,1,0,,,,,,,,,,,
--,19.8,14.6,20.2,15.6,0,2,1,0,,,,,,,,,,,
--,19.8,11.1,20.2,12.1,0,3,1,0,,,,,,,,,,,
--,19.8,9.6,20.2,10.6,0,4,1,0,,,,,,,,,,,
--,14.8,0.1,15.2,2,0,5,1,0,,,,,,,,,,,
--,3,8.4,4.6,8.7,0,6,1,0,,,,,,,,,,,
--,7.5,10.8,8.5,11.2,0,7,1,0,,,,,,,,,,,
--,16.5,10.8,17.5,11.2,0,8,1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
&Exit,StartX,StartY,EndX,EndY,4/arrow,5/id,6/inComp,7/exitSign,,,,,,,,,,,
ExitDown,23,15.6,24.6,16.3,0,0,1,0,,,,,,,,,,,
ExitTop,29.8,3,30.3,4.6,0,1,1,0,,,,,,,,,,,
ExitMid,-0.2,15,0.6,17,0,2,1,0,,,,,,,,,,,
ExitLast,1,0.2,2.6,0.6,0,3,1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
&Wall,"start X","start Y","end X","end Y",4/arrow,5/id,6/inComp,7/mode,pointerX1,pointerY1,pointerX2,pointerY2,,,,,,,
--,0,17.9,20,18,0,0,1,rect,,,,,,,,,,,
--,0,0,20,0.1,0,1,1,rect,,,,,,,,,,,
--,0,0,0.1,18,0,2,1,rect,,,,,,,,,,,
--,20,0,20.1,18,0,3,1,rect,,,,,,,,,,,
--,20,2.5,30,2.6,0,4,1,rect,,,,,,,,,,,
--,20,15.9,27,16,0,5,1,rect,,,,,,,,,,,
--,27,17.9,30,18,0,6,1,rect,,,,,,,,,,,
--,29.9,2.5,30,18,0,7,1,rect,,,,,,,,,,,
--,27,9,27.1,18,0,8,1,rect,,,,,,,,,,,
--,27,9,30,9.1,0,9,1,rect,,,,,,,,,,,
--,27,13.5,30,13.6,0,10,1,rect,,,,,,,,,,,
--,17.5,11,17.6,18,0,11,1,rect,,,,,,,,,,,
--,7.5,11,7.6,18,0,12,1,rect,,,,,,,,,,,
--,7.5,11,20,11.1,0,13,1,rect,,,,,,,,,,,
--,17.5,14.5,20,14.6,0,14,1,rect,,,,,,,,,,,
--,7.5,2,7.6,8.6,0,15,1,rect,,,,,,,,,,,
--,0,8.5,7.5,8.6,0,16,1,rect,,,,,,,,,,,
--,10,8.5,15,8.6,0,17,1,rect,,,,,,,,,,,
--,10,2,10.1,8.6,0,18,1,rect,,,,,,,,,,,
--,14.9,0,15,8.6,0,19,1,rect,,,,,,,,,,,
--,3.8,0,3.9,1,0,20,1,rect,,,,,,,,,,,
--,28.5,10,29.5,11,0,21,1,rect,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
&Ped,00/InitalX,01/InitialY,02/DestX,03_DestY,04_tau,05_tpre,06_p,07/pMode,08/aType,09/interRange,10/ID,11/inComp,12/tpre_tau,13/talk_tau,14/talk_prob,15/p1,radius,mass,maxSpeed
Person0,6.33,2,66,23,0.3,3,0,fixed,active,30,0,1,0.7,2.6,0.7,0.3,0.35,47,1.2
Person1,7.33,3,66,23,0.6,2,0.6,random,active,31,1,1,2.3,3.2,0.7,0.6,0.35,60,1.2
Person2,8.33,2,66,13,3,10,0,fixed,active,32,2,1,2.2,2.3,0.7,3,0.35,43,1.2
Person3,9.33,2,66,23,2.3,6,0.3,random,active,33,3,1,0.3,1.6,0.7,2.3,0.35,60,1.2
Person4,6.33,3,66,22,1.3,22,0.4,random,active,34,4,1,0.6,3.3,0.7,1.3,0.35,60,1.2
Person5,1.33,3,66,13,1.6,6,0.36,random,follow,35,5,1,1.6,3.6,0.7,1.6,0.35,60,1.2
Person6,22.33,12,66,22,1.7,36,0.63,random,follow,36,6,0,2.6,4.6,0.7,1.7,0.35,76,1.2
Person7,23.33,16,66,23,12,23,0.66,random,search,37,7,0,0.3,3.6,0.7,12,0.35,60,1.2
,,,,,,,,,,,,,,,,,,,
&Ped,00/InitalX,01/InitialY,02/DestX,03_DestY,04_tau,05_tpre,06_p,07/pMode,08/aType,09/interRange,10/ID,inComp,,,,,,,
Person0,6.33,13,66,23,0.3,3,0,fixed,active,3,0,1,,,,,,,
Person1,7.33,15,66,23,0.6,16,0.6,random,active,2,1,1,,,,,,,
Person2,8.33,17,66,13,3,17,0,fixed,active,3,2,1,,,,,,,
Person3,9.33,9,66,23,2.3,17,0.3,random,active,6,3,1,,,,,,,
Person4,10.33,3,66,22,1.3,32,0.4,random,active,3,4,1,,,,,,,
Person5,11.33,3,66,13,1.6,33,0.36,random,follow,2,5,1,,,,,,,
Person6,22.33,12,66,22,1.7,36,0.63,random,follow,6,6,1,,,,,,,
Person7,23.33,16,66,23,12,47,0.66,random,search,3,7,0,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
&Ped2Exit,Exit0,Exit1,Exit2,Exit3,,,,,,,,,,,,,,,
Person0,0.3,0.2,0.2,0.2,,,,,,,,,,,,,,,
Person1,0.7,0.3,0,0,,,,,,,,,,,,,,,
Person2,0.8,0.2,0,0,,,,,,,,,,,,,,,
Person3,0.7,0.2,0.1,0.1,,,,,,,,,,,,,,,
Person4,0.6,0.3,0.1,0.1,,,,,,,,,,,,,,,
Person5,0.7,0.1,0.2,0.2,,,,,,,,,,,,,,,
Person6,0.3,0.6,0.1,0.1,,,,,,,,,,,,,,,
Person7,0.3,0.3,0.2,0.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
&groupABD,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,,,,,,,,
Person0,6;1;0,122.3;20;6,0,0,0,0,0,0,,,,,,,,
Person1,260;36;2,0,30.0;16;5,20.0;1;1,0,0,0,0,,,,,,,,
Person2,0,17;2;7,2.0;3;3,96.0;30;3,0,0,0,0,,,,,,,,
Person3,0,0,0,0,0,10.0|1|1,0.6|1|1,1.2|1|1,,,,,,,,
Person4,0,0,0,0,0,20.0|1|1,0,20|3|1,,,,,,,,
Person5,0,0,0,0,0,66.0|1|1,70.0|1|1,0,,,,,,,,
Person6,0,0,0,0,0,300.0|1|1,6.0|1|1,0,,,,,,,,
Person7,0,0,0,0,0,1.0|1|1,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
